Gene_1,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40,sample_41,sample_42,sample_43,sample_44,sample_45,sample_46,sample_47,sample_48,sample_49,sample_50,sample_51,sample_52
Gene_2071,534.6967,689.867,943.8743,1625.628,514.4724,976.0692,796.9794,1139.236,693.2735,1288.497,675.9816,692.3801,2282.915,966.6688,650.2106,942.9266,686.1034,790.5001,1725.284,894.2116,370.3121,875.5035,1352.987,509.1453,1113.351,1007.728,979.4875,2213.861,1072.047,1218.346,704.4439,910.221,451.2189,652.4726,1302.239,1093.902,488.5616,725.7311,502.5374,1227.21,634.985,1107.649,715.1211,884.0529,2695.219,3293.052,951.8967,942.0668,445.1732,934.7466,967.8297,691.5776
Gene_2146,30.25121,43.08846,43.24842,55.50869,41.56816,85.21098,75.51863,17.88952,114.9509,51.54858,133.5256,28.24714,76.7463,37.30018,58.80845,34.15726,53.27893,39.51855,47.28316,29.381,26.29631,48.00558,40.78278,52.05882,56.59972,19.85921,54.84826,36.54103,37.0127,32.69153,80.11958,100.0257,204.1945,55.15242,22.41729,13.96882,0.9407132,25.80745,32.33363,20.18629,17.55012,3.877919,19.30584,21.637,26.40594,24.09257,5.34243,3.21096,9.866929,15.02849,30.11371,23.90686
Gene_2187,62.68343,82.55882,880.4954,1142.905,105.0968,2631.702,154.1835,1685.511,57.27609,2016.398,270.0537,1778.054,99.17271,1003.284,23.03662,1975.673,24.20739,2303.649,23.86684,1569.501,38.88494,1523.673,90.9937,914.9838,139.3935,1924.007,278.7482,1925.299,69.78822,3211.0,125.0498,937.4175,98.34758,794.4359,26.17459,1707.132,77.42727,3344.785,165.2094,3199.187,104.9042,3733.683,85.59148,2987.572,5.605672,17.75239,1190.545,1089.794,65.34731,2351.052,433.9193,2978.04
Gene_2359,26.7488,18.55059,35.23648,4.413845,46.26761,9.672012,42.11812,15.20615,49.75104,25.71496,26.6387,24.17241,39.3089,23.69361,34.60449,20.65298,46.24512,29.0304,50.78286,29.49234,42.27021,39.58477,34.49266,29.0304,19.77842,27.01227,26.18072,25.2849,11.00604,7.361406,34.30431,31.34242,14.30715,7.407943,51.76318,34.78982,12.64089,16.96342,32.42456,15.16772,28.71134,16.7722,48.88677,16.68127,39.35386,37.10414,47.02044,41.09198,12.17757,5.724109,55.36853,20.32606
Gene_2423,103.5336,79.26482,13.58617,2.991027,49.05041,10.65671,172.965,26.40594,38.95956,13.29635,94.12102,28.2334,85.79372,21.52727,192.2962,18.10143,73.12994,9.995254,61.64136,15.98419,58.45253,52.6743,21.18826,4.576708,0.4578685,9.845155,14.94843,10.43497,35.9781,-1.299335,55.18583,23.62027,27.66985,23.4093,42.86954,-9.970647,35.63079,-2.633447,45.50725,2.13933,25.84546,-1.365469,51.69289,16.09905,38.83558,37.02097,36.92872,36.78984,11.58794,-6.428921,44.7706,12.60706
Gene_2495,827.3206,1495.575,1004.379,1468.576,923.4061,765.2031,742.2046,986.6796,1183.13,761.6533,1732.734,1017.807,1192.946,1233.883,525.2311,637.4612,1448.986,894.9589,1101.522,1487.865,969.2103,870.8228,6182.617,1055.729,2732.242,1064.119,2718.224,2428.345,1806.061,1170.534,1722.184,1339.64,1433.69,997.4409,2664.262,984.9969,1553.397,702.2103,938.7502,713.5878,2022.206,783.4553,754.1296,674.2935,927.9153,1306.196,724.679,968.683,3947.649,925.9753,938.7502,882.9874
Gene_2622,23.87228,20.05542,29.61705,48.65747,18.83895,25.22982,48.61894,64.36913,38.22856,23.29415,42.45805,15.63084,27.46049,17.11443,20.99181,28.34933,11.52464,31.93843,50.19275,29.83779,19.32565,46.76001,13.81867,10.43788,19.60551,22.76702,60.62152,46.38572,60.33492,50.54113,45.81413,32.72576,30.40351,73.91787,34.85916,47.79008,39.78818,32.74522,16.72404,63.58381,24.09863,19.59291,17.24085,38.11464,13.38933,10.69312,36.77199,35.31131,15.04691,41.42163,57.68076,39.21219
Gene_2645,201.957,125.2954,125.9724,45.30365,148.2663,103.0681,119.432,43.59241,247.4706,63.5702,179.723,17.57659,168.9955,91.85258,224.1828,49.51706,178.0134,98.32604,254.075,334.972,257.4437,102.5209,236.3407,39.35386,245.9898,55.35118,119.3511,77.29021,199.7648,17.39429,141.2669,126.1145,206.5651,117.8899,196.5814,83.74668,103.3017,84.19139,269.0368,57.03478,276.2568,0.9637308,110.2405,42.74104,176.2638,197.6738,125.8902,136.2463,340.3638,64.00053,43.54539,85.40437
Gene_2897,1218.346,855.3077,1065.804,1160.406,2651.14,1009.35,1216.266,1211.412,2040.951,851.6957,1641.062,1194.595,1942.041,791.2221,981.8124,1243.99,2546.629,1048.502,1963.419,502.1979,1506.266,632.7151,3001.47,1358.182,1171.175,874.7386,1631.378,744.9785,2344.428,792.5511,1928.094,1300.65,2516.796,1675.458,1010.18,1240.537,2049.0,1069.081,1799.798,495.7861,1625.628,1647.171,1999.769,1336.021,1165.839,754.1296,2203.364,1709.367,740.3193,1218.857,4181.626,930.5551
Gene_2968,1741.347,2402.349,1522.854,2006.782,2984.047,1634.995,2561.082,1664.661,1464.874,1083.838,1473.24,2067.176,1868.118,1669.151,812.7208,1155.835,757.3489,1534.205,1243.391,2711.814,2050.44,769.9047,4984.454,2047.586,2153.161,1701.305,2548.835,1679.027,1270.219,2239.238,1436.2,1546.484,752.9591,1613.454,2400.391,1444.008,1893.782,1003.787,1131.893,1026.419,2850.008,1181.486,2563.962,1188.464,2773.583,3583.436,831.5712,927.9153,6821.451,1270.93,1272.452,1733.744
