miRNA,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-3127-3p,0.0,0.4817,0.9029,0.605,0.0,0.0,1.3253,0.8239,0.0,0.5228,0.7938,0.0,0.0,0.0,0.9458,1.3108,1.2884,0.8219,1.2831,0.0,0.0,1.0152
hsa-miR-3127-5p,3.3947,0.5781,12.5279,3.6299,30.5058,2.973,3.5026,2.1055,3.8808,4.7055,2.4696,2.0787,9.1275,10.2765,3.3532,5.7474,2.8111,8.4021,8.233,6.0709,6.3463,8.2487
hsa-miR-3128,0.7921,0.9635,0.3386,0.9075,0.6226,0.4795,0.0,0.4577,0.0,0.3137,0.2646,0.0,0.5369,1.0075,1.1177,0.4033,0.7028,0.548,0.0,0.4047,0.4701,0.0
hsa-miR-3129-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.3514,0.0,0.0,0.0,0.0,0.0
hsa-miR-3129-5p,0.0,0.0,2.483,0.0,0.0,0.0,0.852,0.0,3.2155,0.0,0.7938,0.0,0.0,1.4105,0.6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3130-3p,0.4526,0.0,1.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,1.1091,0.0,0.0,0.6415,1.4165,0.0,0.0
hsa-miR-3130-5p,0.0,0.0,3.1602,0.0,0.0,0.0,0.0,0.4577,0.0,0.0,0.0,0.0,0.0,0.0,0.9458,0.8066,0.0,0.1827,0.0,0.0,0.3526,0.0
hsa-miR-3131,0.4526,0.0,0.0,0.0,0.0,0.0,1.5146,0.9155,0.0,0.0,0.0,0.8753,0.0,1.209,0.0,0.0,0.0,0.548,0.0,0.0,0.0,0.0
hsa-miR-3132,0.0,0.0,0.9029,0.0,0.0,0.0,0.852,0.0,0.0,0.0,0.0,0.0,1.0738,0.0,0.0,0.0,0.0,0.0,0.7485,0.0,0.0,0.0
hsa-miR-3133,0.0,1.3489,0.0,0.8067,0.0,0.2877,0.0,0.8239,1.3306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3653,0.0,0.0,0.0,0.0
hsa-miR-3134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3135a,0.0,0.289,1.4672,1.21,0.0,1.2467,0.4733,0.7324,2.9938,0.9411,0.3528,0.547,0.0,0.0,0.0,0.0,0.0,0.4566,0.0,0.6071,0.9402,0.0
hsa-miR-3135b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3136-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3136-5p,1.6973,0.0,0.0,0.0,1.7121,0.8631,1.42,1.7394,0.0,0.0,0.0,0.9847,2.3624,1.3097,0.6878,2.3191,3.0454,0.7306,1.7108,2.4284,0.0,0.0
hsa-miR-3137,0.0,0.0,0.0,1.0083,0.0,0.0,0.1893,0.0,0.0,0.0,0.1764,0.0,0.0,0.403,0.0,0.0,0.0,0.3653,0.6415,0.0,0.0,0.0
hsa-miR-3138-3p,35.1913,10.5984,87.5828,33.7785,106.4589,19.468,21.1102,11.1685,55.3292,18.4038,32.1051,42.5593,54.0135,84.1259,16.6802,45.8782,38.3017,53.9742,52.4991,47.7579,43.9537,76.6497
hsa-miR-3138-5p,0.6789,1.3489,1.3544,1.7141,4.0467,0.2877,0.3787,2.2886,0.0,1.3594,0.2646,0.0,0.5369,0.0,0.5159,0.8066,0.4685,0.9133,0.5346,0.5059,0.0,1.0152
hsa-miR-3139-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3139-5p,0.0,0.1927,0.0,0.0,0.6226,0.4795,0.1893,0.1831,0.0,0.0,0.0,0.0,0.4295,0.0,0.6019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3140-3p,5.7709,2.0233,9.0291,3.1258,14.0078,3.5484,5.1119,6.4082,7.2072,9.2019,7.5853,8.5337,10.3087,6.7502,5.4168,7.3607,9.839,9.4067,4.0631,6.5768,11.8699,9.3909
hsa-miR-3140-5p,0.0,0.0,0.0,0.0,0.0,0.1918,0.1893,0.0,0.0,0.732,0.1764,0.0,0.0,0.0,0.0,0.0,0.0,0.6393,0.2138,0.0,0.4701,0.0
hsa-miR-3141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4033,0.0,0.0,1.2831,0.0,0.0,0.0
hsa-miR-3142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3143,1.6973,1.4452,2.483,3.2266,2.0233,2.973,1.7986,2.2886,4.657,7.6334,2.4696,2.6258,2.6846,3.224,3.6112,0.8066,3.7482,2.6485,2.3523,4.1485,2.1154,1.7766
hsa-miR-3144-3p,0.0,0.0,0.0,1.21,0.0,0.4795,0.0,1.5563,0.0,0.0,0.7056,1.2035,0.0,0.0,0.5159,0.0,0.0,1.7352,0.0,0.0,0.0,0.0
hsa-miR-3144-5p,0.0,0.0,0.0,0.0,0.0,0.8631,1.0413,0.0,0.0,0.8365,0.7056,0.0,0.3221,0.0,0.172,0.605,0.0,0.4566,0.0,0.0,0.0,0.7614
hsa-miR-3145-3p,0.3395,0.0,0.0,0.0,0.0,0.0,0.4733,0.5493,0.0,0.0,0.0,0.0,0.0,0.806,0.0,0.2017,0.7028,0.7306,0.0,0.0,0.0,2.1574
hsa-miR-3145-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1827,0.0,0.0,0.0,0.0
hsa-miR-3146,4.4131,0.8671,4.4017,1.4116,6.8482,2.3975,5.2066,1.7394,5.8766,3.7644,2.7342,2.8446,5.5839,6.1457,2.7514,3.9324,2.694,3.2878,2.8869,2.5296,8.6967,16.3706
hsa-miR-3147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3149,0.0,0.0,0.0,0.2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.547,0.5369,0.0,0.0,0.8066,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3150a-3p,1.471,0.0,1.2415,1.3108,1.5564,0.959,2.4613,0.7324,2.3285,0.0,0.7056,0.7658,1.9329,1.9142,0.4299,1.21,0.937,0.4566,1.1761,0.9106,0.0,0.8883
