id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-196b-5p,444.8138,207.0546,338.2545,248.7509,232.2175,242.0557,245.7492,299.0777,282.6335,305.859,281.361,325.1574,381.3157,364.5122,263.0996,323.4664,241.9918,228.2258,484.8945,388.438,328.7127,310.4061
hsa-miR-202-5p,0.0,0.0,0.0,1.0083,0.0,0.1918,0.0,0.1831,1.885,0.0,0.0,0.4376,0.0,0.0,0.0,0.3025,0.0,0.3653,0.0,0.2024,0.0,0.0
hsa-miR-205-5p,4.9788,1.6379,2.1444,5.1424,8.8716,5.7541,1.704,3.2956,2.9938,6.0649,5.3803,1.5317,1.396,8.5637,1.9775,2.4199,9.2533,3.1051,6.7361,2.3272,3.8783,2.665
hsa-miR-486-3p,29.4204,13.6816,113.7673,58.3813,60.389,26.3729,31.05,22.337,221.9821,55.6297,33.6046,61.7055,52.8323,69.4165,19.1736,42.1474,29.8683,46.942,27.9068,29.2416,140.4404,84.264
hsa-miR-508-3p,0.4526,0.0,0.3386,1.1091,3.4241,1.4385,1.136,1.5563,0.887,0.8365,2.8224,0.9847,3.7584,0.6045,0.4299,0.8066,1.5227,1.7352,1.6038,1.6189,0.8227,0.0
hsa-miR-514a-3p,1.1316,2.0233,0.0,1.3108,0.0,0.4795,0.3787,0.0,0.0,1.0457,0.882,0.3282,0.5369,1.3097,0.3439,0.2017,1.1713,0.0,1.1761,0.4047,0.0,1.0152
hsa-miR-518e-5p/519a-5p/519b-5p/519c-5p/522-5p/523-5p,0.0,0.0,0.2257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
