id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-196b-5p,596.9283,118.0174,169.9986,99.3152,175.8921,74.1286,751.4416,89.0673,63.0749,121.9585,121.4793,58.5632,40.9328,52.5108,36.9547,76.4157,201.8975,244.8282,93.0841,61.2927,60.1697,41.8889
hsa-miR-202-5p,26.9657,10.3769,9.7769,27.2786,14.9524,5.7503,6.7119,7.0409,27.002,5.3833,1.1022,10.7518,2.3592,11.8377,4.9705,8.1339,2.9213,9.4409,12.502,6.0209,3.6273,5.4482
hsa-miR-205-5p,0.0,0.3098,0.7981,0.2648,0.4823,0.0,0.714,0.0,0.4219,0.3713,0.2362,0.6863,1.1796,1.72,0.0,1.9264,1.1361,3.6067,15.4728,0.7225,15.6825,2.0543
hsa-miR-486-3p,0.0,0.7744,4.1901,17.7443,1.9293,6.7503,1.9993,2.1123,2.0041,2.4132,1.8108,2.6308,2.5952,0.9106,1.5128,1.7124,1.4607,0.8486,0.7427,1.3246,4.9075,1.8756
hsa-miR-508-3p,8.6816,1.8585,2.3943,0.6621,5.1449,2.6251,0.9996,2.8164,1.6876,7.1467,22.1229,1.7157,6.9598,5.0588,3.3497,5.3512,3.5705,7.6376,2.2281,1.6859,3.5206,3.7512
hsa-miR-514a-3p,11.0494,1.8585,2.9929,0.6621,4.8234,2.6251,3.2845,3.0511,1.3712,8.2605,26.1381,2.9739,9.9088,5.8683,4.2141,6.3145,3.4082,10.2896,4.0848,2.89,3.7339,6.2521
hsa-miR-518e-5p/519a-5p/519b-5p/519c-5p/522-5p/523-5p,0.3946,0.6195,1.3967,0.0,0.4823,0.375,1.8565,1.9949,0.0,3.6198,2.3619,1.6013,3.6568,1.6188,0.4322,1.8194,3.2459,0.5304,1.9805,2.2879,0.9602,0.5359
