id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-let-7a-2-3p,2.1743556277118614,0.28660225444179793,0.48851431110913723,0.5866813887009528,0.5574177096027275,0.9907854049138748
hsa-let-7a-3p,178.87495805980015,0.0017433104898093286,0.13922804643536354,0.012521259433304326,0.9900097414657234,0.9921479914472907
hsa-let-7a-5p/7c-5p,79306.58979337593,0.13225474305378299,0.1343376608486894,0.9844949079673756,0.3248722338993088,0.9907854049138748
hsa-let-7b-3p,60.355661204645905,-0.034136190278352005,0.18910439363414622,-0.1805150563788281,0.8567482352707044,0.9907854049138748
hsa-let-7b-5p,42519.10973333764,-0.044469891682924235,0.11788344101777978,-0.3772361181433197,0.7059981412601517,0.9907854049138748
hsa-let-7c-3p,17.918192817153734,0.504839827712825,0.22320544263078465,2.261772032807936,0.023711491618870734,0.9907854049138748
hsa-let-7d-3p,54.65030657535413,0.007706690457296139,0.1305912992035126,0.05901381259164966,0.9529411064293714,0.9907854049138748
hsa-let-7d-5p,1921.890314593183,-0.09329431184965684,0.13096612206011707,-0.7123545416335392,0.4762452575907533,0.9907854049138748
hsa-let-7e-3p,16.73665891628436,0.03459843957905218,0.19798742543601114,0.17475069188287556,0.8612755342068809,0.9907854049138748
hsa-let-7e-5p,3833.3463327624877,0.252026618602059,0.15365883006591227,1.6401700995247175,0.10096980441522128,0.9907854049138748
hsa-let-7f-1-3p,14.81982650109946,0.04780415930587821,0.23805308734368327,0.20081301964742904,0.8408447820985802,0.9907854049138748
hsa-let-7f-2-3p,15.879564593064861,-0.26532477685157346,0.39590910120002615,-0.6701658942604676,0.5027520427443419,0.9907854049138748
hsa-let-7f-5p,38474.13931993061,0.17394443721611844,0.10607723883054618,1.6397903936205125,0.10104875625706762,0.9907854049138748
hsa-let-7g-3p,15.682557608268175,0.042928720287418065,0.21288211910422955,0.20165488988955277,0.8401865306741302,0.9907854049138748
hsa-let-7g-5p,6498.7515327197825,0.017595471946116263,0.10039049437220386,0.17527029880817183,0.86086724861381,0.9907854049138748
hsa-let-7i-3p,107.34577456955503,0.08275626355812427,0.15590587819354607,0.530809129950753,0.5955510526501461,0.9907854049138748
hsa-let-7i-5p,20190.43692526782,0.08747702401386155,0.08996172899040944,0.972380422159152,0.3308613279978622,0.9907854049138748
hsa-miR-1-3p,576.2939723909337,-0.08496831819326182,0.33910329808839745,-0.250567654966046,0.8021483916520487,0.9907854049138748
hsa-miR-1-5p,0.0,,,,,
hsa-miR-100-3p,20.749692465955544,0.3782161776893974,0.27585721316247547,1.3710577778752306,0.17035694554463712,0.9907854049138748
hsa-miR-100-5p,3378.180500937754,-0.5308650396490587,0.20756978771982904,-2.5575255699813266,0.010541980733449058,0.8135089857637972
