id,3256_p,3262_p,3263_p,3267_p,3271_p,3273_p,3274_p,3275_p,3276_p,3277_p,3279_p,3280_p,3281_p,3282_p,3283_p,3284_p,3287_p,3288_p,3289_p,3290_p,3304_p,3318_p
hsa-miR-10399-3p,252.25245294022363,233.40148759783665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.9872252118013,0.0,0.0,0.0,157.05337055495175,0.0
hsa-miR-1233-5p,0.0,0.0,0.0,0.0,0.0,0.0,2.602556720797132,0.0,0.0,12.7548600843749,10.956160208281636,9.497622231860722,0.0,12.2709814707888,0.0,1.9293829149899164,0.0,0.0,0.0,0.0,0.0,4.983789386041809
hsa-miR-139-5p,1079.2938921602697,14557.11143730537,865.7928275470331,1895.8142326050968,704.6595299847704,2005.781067492096,848.4334909798648,4305.123517277486,359.92078193826273,2880.897731057478,1491.7233514352688,1359.2152705151789,552.4199004430118,1760.885841058193,1319.8294779514993,952.1504685475238,831.5941874760925,1030.6205280830548,537.4223484877413,1085.6513938622531,3243.756153384965,1667.0775496309852
hsa-miR-145-5p,337.94126329014694,3322.487593976666,672.3329129779029,745.3778154958665,908.571994705638,874.9532995609786,209.9395754776353,1413.1706739011677,878.4796336407835,762.7406330456191,443.30309765816463,122.41379765509376,296.6146492468784,180.5587273558924,211.3663344885653,597.1440121893792,156.41890669193168,1286.0659248377742,242.50798134437272,208.2991622176029,355.38358849934593,236.72999583698592
hsa-miR-150-5p,2800.7724641340096,18226.21765838629,3809.4884412069455,17204.92971777196,4229.247765128374,16466.98172618297,1113.0267575942398,2702.6889138359834,8230.415985081127,4762.664755505588,2450.808760437153,1993.445377331656,2014.5907720660464,3647.110992853729,1534.4227793788211,2181.1673853961006,1186.0117102337606,10362.774503641282,2351.094327609851,1002.1397481805412,3636.389579772344,8600.774532961652
hsa-miR-182-5p,3814.59625400445,3573.3071030370284,9025.74095255238,4474.891462748072,1364.1485772782094,8493.658527239646,2354.446313414472,4248.764924925476,53065.28722899249,2956.576567558102,5192.377157171012,5505.455020401932,3007.951241691498,5632.380495092059,2606.582544780742,3680.297910343266,3076.8984936615425,4745.627457356707,3850.3279919379856,3110.088873663749,11075.282881250154,5722.636162522507
hsa-miR-18b-3p,0.0,0.0,37.02010710890762,10.498279091491076,0.0,0.0,5.205113441594263,10.935249262330466,0.0,0.0,0.0,0.0,6.967458203785734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-24-1-5p,4.813978109546253,13.934417170020096,4.776788014052596,0.0,0.0,4.293195778022466,1.7350378138647542,1.682346040358533,0.0,3.4012960224999738,1.6855631089664056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3133,0.0,12.192615023767583,0.0,6.998852727660718,0.0,2.5759174668134794,0.0,7.570557181613399,20.46942835667845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5355764256708566,0.0,0.0,0.0,0.0
hsa-miR-3135a,0.0,2.6127032193787683,15.524561045670938,10.498279091491076,0.0,11.162309022858413,4.337594534661886,6.729384161434132,46.056213802526514,7.65291605062494,3.371126217932811,5.276456795478179,0.0,0.0,0.0,0.0,0.0,4.419470532088571,0.0,5.759423840118053,8.054019002818038,0.0
hsa-miR-3138-5p,5.776773731455503,12.192615023767583,14.330364042157788,14.872562046279024,33.55521571356049,2.5759174668134794,3.4700756277295084,21.029325504481665,0.0,11.054212073124914,2.5283446634496083,0.0,4.976755859846953,0.0,4.840450408135083,7.717531659959666,3.9599723213147264,8.838941064177142,5.137880960685863,4.799519866765045,0.0,9.967578772083618
hsa-miR-3150a-5p,26.95827741345901,19.159823608777632,20.30134905972353,27.99541091064287,27.102289614798863,29.19373129055277,5.205113441594263,10.094076242151198,0.0,3.4012960224999738,14.327286426214448,3.165874077286907,15.925618751510248,7.888488088364227,3.2269669387567217,1.9293829149899164,9.899930803286816,6.187258744923999,22.6066762270178,8.63913576017708,7.047266627465783,12.459473465104525
hsa-miR-3155a-3p/3155b,6.739569353364753,0.0,7.165182021078894,7.873709318618308,0.0,5.151834933626959,0.0,5.047038121075599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-3179-3p,0.0,2.6127032193787683,0.0,5.249139545745538,10.324681758018611,4.293195778022466,3.4700756277295084,4.205865100896332,28.998356838627803,0.0,0.0,2.110582718191272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.983789386041809
hsa-miR-338-5p,15.404729950548008,24.38523004753517,0.0,13.997705455321436,28.39287483455119,17.172783112089864,6.07263234852664,16.82346040358533,18.76364266028858,17.00648011249987,3.371126217932811,4.221165436382544,10.948862891663296,0.0,4.0337086734459024,16.39975477741429,8.909937722958134,4.419470532088571,0.0,12.478751653589116,2.0135047507045094,2.4918946930209045
hsa-miR-365a-3p/365b-3p,14.441934328638755,43.5450536563128,14.330364042157788,21.871414773939744,36.136386153065146,36.06284453538871,21.687972673309428,6.729384161434132,15.35207126750884,43.366524286874665,10.956160208281636,8.442330872765087,6.967458203785734,14.900477500243545,4.0337086734459024,7.717531659959666,2.969979240986045,17.677882128354284,9.248185729234551,6.719327813471062,18.121542756340585,0.0
hsa-miR-3675-5p,2.8883868657277514,0.0,7.165182021078894,0.0,15.487022637027922,0.0,0.0,7.570557181613399,0.0,47.61814431499963,8.427815544832027,0.0,12.939565235602076,16.65347485321337,27.429218979432136,0.0,20.789854686902316,30.93629372462,0.0,3.839615893412036,139.9385801739634,6.2297367325522615
hsa-miR-4421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.01284953518085,0.0,0.0,8.764986764849143,6.453933877513443,0.0,6.929951562300771,0.0,0.0,4.799519866765045,11.074276128874802,0.0
hsa-miR-4655-5p,0.0,0.0,37.02010710890762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.213907772416014,0.0,0.0,19.282970882668117,7.260675612202625,0.0,4.949965401643408,0.0,19.52394765060628,0.0,0.0,0.0
hsa-miR-4685-3p,20.21870806009426,6.967208585010048,27.466531080802422,6.123996136703128,52.9139940098454,0.0,6.940151255459017,20.1881524843024,95.52399899783276,9.353564061874929,0.0,9.497622231860722,5.972107031816344,11.394482794303888,5.647192142824263,3.858765829979833,4.949965401643408,0.0,9.248185729234551,0.0,36.24308551268117,24.91894693020905
hsa-miR-4749-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5283446634496083,5.276456795478179,0.0,2.6294960294547427,0.0,0.0,0.0,7.955046957759428,7.193033344960209,0.0,5.0337618767612735,3.737842039531357
hsa-miR-4796-3p,0.0,0.0,0.0,0.0,0.0,3.434556622417973,0.0,0.0,0.0,0.0,0.0,24.271701259199624,12.939565235602076,18.4064722061832,0.0,0.0,0.0,9.722835170594855,0.0,4.799519866765045,0.0,0.0
hsa-miR-544b-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.442330872765087,0.0,0.0,0.0,11.5762974899395,28.70979932953177,0.0,13.358490497783244,23.037695360472213,0.0,0.0
hsa-miR-610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.455508095624888,0.0,0.0,0.0,0.0,16.13483469378361,0.0,8.909937722958134,0.0,16.441219074194763,15.358463573648145,0.0,0.0
hsa-miR-6503-5p,2.8883868657277514,21.7725268281564,0.0,3.499426363830359,0.0,0.0,0.0,0.0,10.234714178339225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-664b-3p,65.47010228982903,454.61036017190565,71.65182021078894,59.4902481851161,38.7175565925698,63.539297514732496,25.15804830103894,106.82897356276683,115.9934273545112,81.63110453999937,54.78080104140818,59.096316109355605,37.82334453483684,50.83692323612503,36.30337806101312,34.7288924698185,33.65976473117517,40.65912889521485,41.10304768548691,45.11548674759142,85.57395190494165,104.659577106878
hsa-miR-6755-3p,0.0,0.0,11.94197003513149,0.0,14.196437417275597,0.0,7.807670162391394,15.982287383406064,27.29257114223793,0.0,0.0,5.276456795478179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0135047507045094,4.983789386041809
hsa-miR-6806-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.251620028124967,0.0,3.165874077286907,5.972107031816344,0.0,11.294384285648526,5.7881487449697495,0.0,0.0,9.248185729234551,0.0,0.0,9.967578772083618
hsa-miR-6819-5p,3.851182487637002,3.483604292505024,0.0,0.0,0.0,1.7172783112089864,0.0,2.5235190605377995,3.411571392779741,0.0,9.27059709931523,0.0,3.981404687877562,13.147480147273717,5.647192142824263,12.540988947434457,8.909937722958134,0.0,5.137880960685863,9.59903973353009,5.0337618767612735,24.91894693020905
